Amplitude (Max-Offset) (mean),Amp. rel. (Max-Offset) Filtering (min),Amp. rel. (Max-Offset) Filtering (max),Amp. rel. (Max-Offset) Filtering (mean),Frequency (Max) (mean),Frequency (Max) Filtering (mean),Open speed (mean),Close speed (mean),Speed (min),Speed (max),Speed (mean),Acceleration (mean),Amp.decline (linear regres),Freq.decline (linear regres)
72.5506,0.7091,0.9752,0.8501,2.8215,2.9206,0.186,0.1825,-2.1347,1.3961,0.3826,14.9016,24.211,-0.400
63.172,0.677,0.9481,0.8266,3.2086,3.4416,0.184,0.1837,-1.9124,1.9177,0.3825,17.6555,18.943,-0.541
36.9917,0.356,0.6343,0.4711,3.2824,3.4993,0.0951,0.093,-1.9213,1.0201,0.2029,7.9251,19.456,-0.713
46.9524,0.4863,0.7708,0.5947,3.9297,4.3238,0.1648,0.1666,-2.2489,1.4086,0.3411,16.3063,8.562,0.276
50.1564,0.7085,0.8486,0.7656,2.4764,2.5437,0.0834,0.0818,-1.5519,1.1311,0.1778,5.8228,4.923,0.871
36.68,0.6979,0.957,0.8092,2.5584,2.6169,0.0807,0.0783,-0.9974,0.7941,0.1716,5.5671,3.858,0.608
53.367,0.7362,0.9405,0.8424,2.533,2.6076,0.1097,0.1091,-1.3303,1.1863,0.2329,7.7911,10.257,0.553
42.036,0.4784,0.9445,0.6124,2.7807,3.011,0.0889,0.0851,-1.4396,1.0194,0.1849,6.2271,16.237,0.661
73.1054,0.7797,0.9388,0.8572,3.3916,4.678,0.172,0.1511,-2.6519,2.9326,0.3559,23.5428,6.533,0.105
72.1258,0.8012,0.9259,0.881,3.0753,3.0974,0.191,0.1912,-1.5655,0.9591,0.3922,14.8663,-5.794,0.141
72.2182,0.7338,0.9414,0.8782,2.7849,3.0615,0.2007,0.1958,-2.7216,1.6147,0.4249,23.5715,-11.263,2.118
42.7388,0.3779,0.756,0.5464,2.9487,3.1128,0.1263,0.1271,-2.5796,1.2239,0.2662,12.6647,39.063,0.938
81.0136,0.7772,0.9779,0.8691,2.7806,2.7852,0.2118,0.2115,-3.1597,1.9821,0.438,23.5233,2.671,0.292
79.647,0.8927,0.9713,0.9357,2.6436,2.711,0.2077,0.208,-2.9648,2.6443,0.4328,29.9325,-5.953,-0.330
71.7727,0.8762,0.9601,0.926,3.0052,3.0562,0.2123,0.2066,-2.5874,2.3368,0.4332,28.2282,0.001,-0.021
35.9851,0.337,0.992,0.6328,1.2107,1.6645,0.0383,0.0379,-1.095,0.5418,0.0983,3.9954,45.309,-0.324
28.0843,0.4253,0.8389,0.6313,1.8462,2.3804,0.043,0.0414,-0.9424,0.4156,0.0951,4.2321,20.971,1.241
35.8044,0.5874,0.9863,0.7105,1.2674,1.7034,0.0416,0.0333,-0.8535,0.5346,0.0934,4.3555,14.884,-1.052
58.5103,0.6354,0.9325,0.8366,3.4335,3.5805,0.1735,0.1738,-1.9926,1.4693,0.3602,16.2837,-6.084,1.585
66.5298,0.5349,0.9323,0.803,3.3041,3.5078,0.2052,0.2064,-2.373,2.2454,0.4225,22.3591,32.949,0.813
88.0474,0.8506,0.9843,0.921,1.7232,1.7386,0.1376,0.1379,-1.6277,1.481,0.2872,9.2232,4.589,0.351
80.3278,0.8901,0.9666,0.9233,1.7026,1.7128,0.1193,0.1185,-1.5964,1.3486,0.2564,8.3502,7.788,0.255
82.7409,0.9009,0.9834,0.9478,1.6892,1.7097,0.135,0.1223,-1.8484,1.7601,0.2723,10.0669,6.534,0.168
82.9024,0.9125,0.967,0.9485,1.9473,1.9608,0.1374,0.1376,-2.5577,2.056,0.29,14.5809,4.997,0.313
77.7595,0.8602,0.9734,0.9084,1.8901,1.9197,0.1302,0.1206,-2.044,1.7623,0.2708,10.2292,6.931,0.358
79.1508,0.8773,0.989,0.9314,1.7857,1.7734,0.1209,0.112,-2.2322,1.8109,0.2521,11.5121,8.824,0.290
69.2464,0.6323,0.887,0.7562,4.7294,4.7535,0.3016,0.3008,-2.5953,2.0314,0.6133,31.1992,19.706,0.084
53.1702,0.6008,0.7637,0.6973,5.0262,5.0704,0.2304,0.2299,-2.3968,1.7552,0.4731,23.6804,11.317,0.315
56.0884,0.6707,0.88,0.8085,4.9973,5.0373,0.25,0.2465,-2.3548,1.4816,0.5084,25.8651,15.806,0.264
44.2624,0.5243,0.7729,0.627,4.7878,4.9063,0.186,0.1853,-2.8709,2.0519,0.3959,26.7694,13.588,0.820
49.8595,0.31,0.6453,0.4873,4.6146,4.6889,0.1844,0.1842,-3.0757,1.9825,0.3801,20.505,37.634,0.814
61.5423,0.5739,0.7454,0.6564,4.7096,4.7691,0.2521,0.2516,-2.6489,1.6401,0.5147,25.4871,-10.831,1.269
51.4614,0.4025,0.7106,0.5367,4.8806,4.916,0.2153,0.2135,-2.6815,1.548,0.4411,21.8612,10.716,0.792
56.2178,0.5658,0.8486,0.7002,3.9258,3.9719,0.1857,0.1843,-1.9292,1.5156,0.3857,15.4678,14.538,0.925
60.2099,0.3982,0.9264,0.7408,3.5637,3.7681,0.1821,0.1813,-2.0152,2.1787,0.3794,18.1245,44.808,0.961
34.9312,0.2391,0.8155,0.486,2.84,3.438,0.0885,0.083,-1.9514,1.4742,0.1871,9.8237,48.473,0.656
27.2988,0.1651,0.7548,0.373,3.439,3.7169,0.0739,0.0738,-2.364,1.6743,0.1602,9.071,42.365,1.372
37.7125,0.2864,0.9419,0.5399,3.4364,3.5,0.1076,0.1067,-1.9163,2.1489,0.2266,10.9882,62.300,0.260
17.0724,0.5964,0.8496,0.6881,4.1778,4.2522,0.062,0.0637,-1.797,0.4707,0.136,6.3205,-3.246,-0.160
21.9171,0.1653,0.4833,0.2688,3.9009,4.083,0.0796,0.0839,-2.6157,1.8443,0.1833,9.7896,22.540,0.917
34.5435,0.3437,0.7885,0.5199,4.086,4.1419,0.1126,0.1115,-1.9964,1.1572,0.2337,10.2357,25.299,-0.186
70.406,0.7268,0.9472,3.2523,3.6065,0.2223,0.2222,-2.2305,1.8134,0.4632,22.9922,11.916,0.388
69.4742,0.7635,0.9837,3.2913,3.5942,0.228,0.2254,-2.1661,1.2448,0.4571,18.9325,20.474,-0.144
70.2459,0.786,0.9722,3.6282,3.8128,0.2458,0.2448,-2.1099,1.6345,0.5002,21.5094,16.259,0.090
67.7685,0.9006,0.9698,3.7352,4.1623,0.237,0.2365,-2.1522,1.6086,0.4955,27.1713,2.600,0.489
66.2054,0.7862,0.9121,4.0888,4.3281,0.2589,0.2522,-1.6794,1.4217,0.5313,22.4726,6.177,0.054
43.9637,0.5874,0.8482,4.363,4.862,0.1462,0.1447,-1.2798,0.9736,0.2988,13.0666,2.827,0.471
36.8468,0.5114,0.845,3.962,5.0363,0.1249,0.1231,-1.0689,0.9341,0.2578,13.5122,12.403,0.598
51.0398,0.4415,0.9259,3.6335,3.783,0.1533,0.1498,-1.9559,1.1013,0.3145,16.2887,29.335,0.154
66.5057,0.8048,0.9483,3.414,3.7915,0.2026,0.1979,-1.5084,1.9526,0.4078,17.8652,10.709,0.417
47.337,0.6077,0.9193,3.5459,3.9559,0.1514,0.1506,-2.484,1.2203,0.315,16.2749,18.633,0.445
58.2799,0.8619,0.9811,3.4689,4.0152,0.1564,0.1553,-1.4305,1.3756,0.3191,12.0169,-1.025,-0.453
58.6591,0.7539,0.9238,3.9184,4.3237,0.2027,0.2034,-1.4166,1.7822,0.4131,17.199,8.824,0.468
42.9904,0.6109,0.7764,3.8958,4.1672,0.1501,0.1465,-1.7158,1.0148,0.3052,13.3275,2.169,0.230
47.8441,0.5279,0.8389,2.1772,6.6809,0.1277,0.1223,-1.1457,1.0326,0.2574,14.4481,-20.613,1.456
68.6201,0.7799,0.9047,2.6439,3.4111,0.1755,0.1762,-2.0566,1.475,0.3587,16.6202,-2.743,0.767
62.6924,0.6691,0.9099,2.8612,4.215,0.171,0.1656,-1.694,1.4997,0.3554,18.0151,-2.964,0.893
68.3806,0.6035,0.9543,2.7243,3.2789,0.1961,0.1968,-2.5092,1.8794,0.4121,21.4981,34.117,0.338
47.8086,0.5829,0.8131,4.0541,5.7482,0.1441,0.1429,-1.5289,1.2179,0.2977,16.3429,-10.052,-0.149
65.542,0.7358,0.8606,3.7567,5.1552,0.2066,0.2045,-1.9728,2.0082,0.4198,21.5003,-3.330,0.716
70.5254,0.6614,0.9304,3.451,4.609,0.2524,0.2587,-3.1414,2.7062,0.5318,33.2164,-12.343,0.543
84.6666,0.9305,0.977,1.5982,1.9104,0.148,0.1354,-2.2215,2.2009,0.3039,15.5829,2.441,-0.147
76.8316,0.788,0.9513,1.6579,3.8367,0.1579,0.1531,-2.1592,2.8138,0.3331,18.629,-12.637,2.357
60.8879,0.5603,0.8375,2.9094,5.7183,0.1764,0.1762,-2.4005,2.5258,0.3737,21.0822,-14.913,3.871
71.0408,0.6151,0.9813,1.7445,3.5704,0.1515,0.1468,-2.6417,2.0813,0.3266,17.2758,19.807,-0.334
80.9797,0.7778,0.973,1.9672,2.2318,0.1529,0.1561,-2.4508,2.63,0.3353,19.5812,-7.756,0.258
34.2082,0.3146,0.6934,3.1247,4.2396,0.0933,0.0899,-1.8065,1.1453,0.1973,9.2316,23.261,-0.431
43.7066,0.428,0.7817,3.3102,4.3454,0.1325,0.1295,-1.5816,1.7521,0.277,14.0916,17.250,1.192
60.4507,0.8404,0.9603,3.2624,3.8847,0.187,0.1866,-1.8444,1.4549,0.3847,16.9363,-5.110,0.742
62.3469,0.8208,0.9546,3.2424,4.5918,0.1847,0.1771,-1.6236,1.5338,0.3774,18.149,-2.920,1.576
27.5523,0.3462,0.6708,3.34,3.5722,0.0828,0.0813,-1.1349,0.8959,0.1695,6.7376,9.695,0.031
26.876,0.2012,0.7821,3.3408,4.0122,0.084,0.084,-2.105,0.9481,0.1778,8.2047,-34.928,-0.267
17.6249,0.185,0.4798,4.48,4.7086,0.0711,0.0711,-2.1492,1.4717,0.156,9.2909,12.000,-0.050
40.9437,0.4058,0.8077,4.2528,4.8495,0.1663,0.1655,-2.2122,1.4379,0.3437,18.5078,-14.475,0.812
61.2143,0.6981,0.9246,3.8351,4.7301,0.238,0.2374,-2.1624,1.7145,0.4872,26.4109,-3.877,0.903
77.1231,0.7726,0.9861,2.7318,3.1179,0.2122,0.2112,-2.5737,2.2431,0.4385,23.0829,8.964,0.449
77.2706,0.822,0.9979,2.8045,3.1559,0.2086,0.2104,-2.4495,2.7011,0.4408,23.3257,13.583,-0.031
80.4572,0.8481,0.962,2.7546,2.9102,0.2249,0.2169,-2.302,2.1634,0.4556,21.2724,6.859,0.069
45.5587,0.3295,0.9286,2.5202,5.0392,0.1417,0.1498,-2.839,2.2508,0.3218,22.0926,-42.602,-0.914
61.6285,0.6175,0.9525,2.6556,4.8645,0.1822,0.1871,-2.5706,1.8655,0.3969,23.5539,17.581,0.104
69.0055,0.7491,0.9548,2.518,2.8188,0.1696,0.1621,-2.5842,2.0396,0.3505,17.6176,13.932,0.326
66.4037,0.5992,0.9622,2.7024,3.8301,0.1838,0.1824,-2.3251,2.1101,0.3959,20.4885,3.689,-0.225
80.0083,0.7746,0.8999,3.46,4.0107,0.2931,0.2967,-2.6047,2.2767,0.6065,29.3347,12.203,0.503
79.3446,0.8713,0.9306,3.827,4.0815,0.2909,0.2944,-2.5833,2.3525,0.5995,30.9034,3.052,0.242
67.6452,0.5149,0.8702,3.6671,4.2936,0.2479,0.2477,-2.3377,2.2418,0.5107,23.8948,31.644,0.686
75.0816,0.8711,0.9534,3.3866,3.829,0.2417,0.241,-2.3969,1.8377,0.4988,21.8056,5.389,-0.497
67.5367,0.7889,0.9724,3.4777,3.7678,0.2273,0.227,-1.6479,1.4533,0.4558,16.1971,15.890,-0.269
67.7411,0.7497,0.9113,3.8187,3.9064,0.2301,0.2245,-2.0181,2.2075,0.4677,21.033,8.462,-0.049
63.2265,0.7455,0.8838,3.8891,4.3518,0.2236,0.2179,-2.2522,1.9552,0.4579,21.2833,6.250,0.439
61.4275,0.7765,0.9308,2.4649,2.6887,0.1511,0.1435,-1.7412,1.0539,0.3114,11.5257,9.146,0.236
